idade,sexo,grupo,pop,obito,logmx,topals,topals.inf,topals.sup,vand.hat,gomp.hat
94,m,atc,2074,493,-1.436725215,-1.435454159,-1.469931888,-1.40097643,-1.793905191,-1.424376778
95,m,atc,1310,345,-1.334237999,-1.362142873,-1.401346884,-1.322938862,-1.735985394,-1.326121936
96,m,atc,979,269,-1.291820263,-1.293614086,-1.329196115,-1.258032057,-1.679550225,-1.227867094
97,m,atc,675,188,-1.278270728,-1.227585299,-1.269332653,-1.185837945,-1.624533749,-1.129612252
98,m,atc,429,145,-1.084723177,-1.164456511,-1.218928861,-1.109984162,-1.570873572,-1.031357409
99,m,atc,288,102,-1.037987667,-1.104127724,-1.17440764,-1.033847808,-1.518510695,-0.933102567
100,m,atc,202,56,-1.282916007,-1.048798937,-1.136314255,-0.961283619,-1.467389351,-0.834847725
101,m,atc,123,51,-0.880358723,-0.99667015,-1.102151094,-0.891189206,-1.417456841,-0.736592883
102,m,atc,63,27,-0.84729786,-0.948041363,-1.07190081,-0.824181915,-1.368663363,-0.638338041
103,m,atc,45,21,-0.762140052,-0.903312575,-1.045803735,-0.760821416,-1.320961851,-0.540083198
104,m,atc,22,10,-0.78845736,-0.862583788,-1.023872141,-0.701295436,-1.274307814,-0.441828356
105,m,atc,15,6,-0.916290732,-0.826255001,-1.00645425,-0.646055752,-1.22865918,-0.343573514
106,m,atc,6,1,-1.791759469,-0.793026214,-0.99221768,-0.593834747,-1.18397615,-0.245318672
107,m,atc,5,3,-0.510825624,-0.763697426,-0.981941203,-0.54545365,-1.140221061,-0.14706383
108,m,atc,2,0,NA,-0.737768639,-0.975110347,-0.500426931,-1.097358248,-0.048808987
109,m,atc,2,0,NA,-0.715039852,-0.971514921,-0.458564783,-1.055353926,0.049445855
110,m,atc,1,0,NA,-0.711711065,-0.987347546,-0.436074583,-1.01417607,0.147700697
65,m,total,518237,9926,-3.955275089,-3.928820996,-3.942245309,-3.915396682,-3.873877871,-3.936052413
66,m,total,505744,10854,-3.841496937,-3.854203923,-3.864498086,-3.84390976,-3.823904533,-3.857345918
67,m,total,501968,11674,-3.761172226,-3.777886851,-3.785763045,-3.770010657,-3.765148159,-3.778639186
68,m,total,466863,11652,-3.690558014,-3.696069778,-3.703027227,-3.689112329,-3.699207404,-3.699932717
69,m,total,425542,11475,-3.613192895,-3.619652705,-3.62772022,-3.611585191,-3.6276267,-3.621226413
70,m,total,399353,11638,-3.535570131,-3.538635633,-3.549221969,-3.528049296,-3.551820989,-3.542519846
71,m,total,396562,12119,-3.488057928,-3.466574925,-3.47476911,-3.45838074,-3.473036729,-3.463813272
72,m,total,365404,12188,-3.40055173,-3.387414217,-3.394014247,-3.380814188,-3.39233378,-3.385106635
73,m,total,332402,12133,-3.310416067,-3.311753509,-3.318181392,-3.305325627,-3.310589878,-3.306400243
74,m,total,305915,12349,-3.209732197,-3.235492801,-3.243265607,-3.227719995,-3.228514629,-3.227693587
75,m,total,319389,13262,-3.181506993,-3.156132094,-3.166174848,-3.146089339,-3.146669588,-3.148987188
76,m,total,278448,12885,-3.073167483,-3.076375926,-3.084153604,-3.068598248,-3.065490366,-3.07028062
77,m,total,246699,12369,-2.992975628,-2.995719759,-3.002102865,-2.989336652,-2.985307006,-2.991573931
78,m,total,223354,12518,-2.881590348,-2.915563591,-2.922014348,-2.909112835,-2.906364808,-2.912867398
79,m,total,219125,12760,-2.843327065,-2.834107424,-2.84205078,-2.826164068,-2.828839633,-2.834161023
80,m,total,189187,12103,-2.749282588,-2.741851256,-2.752107863,-2.73159465,-2.752852921,-2.755454436
81,m,total,162563,11297,-2.666528415,-2.660418075,-2.668412396,-2.652423754,-2.678483195,-2.67674792
82,m,total,148088,11423,-2.562177825,-2.575084893,-2.581587804,-2.568581982,-2.605775737,-2.598041306
83,m,total,140269,11424,-2.507845602,-2.491151712,-2.497502619,-2.484800804,-2.534749712,-2.519334754
84,m,total,125232,11063,-2.42656181,-2.40711853,-2.414737433,-2.399499626,-2.465405244,-2.440628248
85,m,total,112132,10756,-2.34421301,-2.322385348,-2.332154117,-2.312616579,-2.397727327,-2.361921701
86,m,total,92756,9907,-2.236730811,-2.247640468,-2.256020193,-2.239260743,-2.331690166,-2.283215206
87,m,total,79234,9114,-2.162593807,-2.177195588,-2.184501936,-2.169889239,-2.267260035,-2.204508652
88,m,total,68017,8619,-2.065788605,-2.106350707,-2.113052771,-2.099648644,-2.204397602,-2.12580218
89,m,total,56415,7323,-2.041715001,-2.034805827,-2.041500943,-2.028110711,-2.143059825,-2.047095637
90,m,total,47159,6708,-1.950224027,-1.962160947,-1.96944816,-1.954873733,-2.08320108,-1.968389088
91,m,total,37819,5647,-1.901687191,-1.894316066,-1.902667975,-1.885964158,-2.024774433,-1.889682578
92,m,total,29847,4896,-1.807665787,-1.824771186,-1.834506548,-1.815035825,-1.967732668,-1.810976051
93,m,total,23120,4118,-1.725330435,-1.758926306,-1.77024762,-1.747604992,-1.9120285,-1.732269496
94,m,total,18149,3277,-1.711687093,-1.696781426,-1.709817491,-1.68374536,-1.857615081,-1.65356296
95,m,total,15226,2764,-1.706325587,-1.650936545,-1.665771567,-1.636101524,-1.804446673,-1.574856405
96,m,total,11493,2187,-1.659207413,-1.627720491,-1.640739673,-1.614701309,-1.752478662,-1.496149898
97,m,total,9251,1839,-1.615509708,-1.607004436,-1.620130918,-1.593877955,-1.701667627,-1.417443373
98,m,total,6895,1397,-1.596469431,-1.589188382,-1.604304403,-1.574072361,-1.651971632,-1.338736842
99,m,total,5406,1060,-1.62924054,-1.574172328,-1.592558949,-1.555785706,-1.60335023,-1.260030307
100,m,total,3951,803,-1.593369276,-1.564156273,-1.586539878,-1.541772668,-1.5557645,-1.181323774
101,m,total,2560,598,-1.454171784,-1.557340219,-1.584123942,-1.530556495,-1.509177053,-1.102617238
102,m,total,1784,390,-1.520466574,-1.554024164,-1.585442218,-1.52260611,-1.463552064,-1.023910687
103,m,total,1442,310,-1.53721402,-1.55460811,-1.590804858,-1.518411362,-1.418855116,-0.94520415
104,m,total,1013,227,-1.495721487,-1.559192055,-1.600261499,-1.518122612,-1.37505326,-0.866497618
105,m,total,746,158,-1.552130567,-1.568176001,-1.614182283,-1.522169719,-1.332115087,-0.787791102
106,m,total,377,68,-1.712737482,-1.580259946,-1.631248582,-1.529271311,-1.290010474,-0.709084569
107,m,total,336,68,-1.597603455,-1.596243892,-1.652248249,-1.540239535,-1.248710546,-0.630378036
108,m,total,289,62,-1.539292303,-1.615627838,-1.676673061,-1.554582614,-1.208187808,-0.55167149
109,m,total,204,32,-1.852384091,-1.638211783,-1.704317265,-1.572106301,-1.168415974,-0.47296497
110,m,total,112,20,-1.722766598,-1.680195729,-1.751376726,-1.609014731,-1.12936985,-0.394258438
65,m,api.urb,90943,1092,-4.422222059,-4.263777982,-4.299978945,-4.227577019,-4.317331847,-4.141209908
66,m,api.urb,97334,1657,-4.073139624,-4.145117184,-4.172896152,-4.117338217,-4.166017577,-4.048512545
67,m,api.urb,96437,1832,-3.963481679,-4.024756386,-4.04577793,-4.003734843,-4.02651046,-3.955815183
68,m,api.urb,87025,1825,-3.864615447,-3.898895588,-3.91681799,-3.880973186,-3.896984459,-3.863117821
69,m,api.urb,77805,1804,-3.764199275,-3.77843479,-3.798673186,-3.758196395,-3.776021851,-3.770420458
70,m,api.urb,72380,1898,-3.641129318,-3.653373992,-3.679964324,-3.62678366,-3.662497583,-3.677723096
71,m,api.urb,71179,1876,-3.636055981,-3.565744779,-3.586324031,-3.545165527,-3.555502288,-3.585025734
72,m,api.urb,63795,1900,-3.513820931,-3.471015566,-3.487527173,-3.454503959,-3.454289342,-3.492328371
73,m,api.urb,57595,1945,-3.388173781,-3.379786353,-3.395737165,-3.363835542,-3.358237413,-3.399631009
74,m,api.urb,52548,2057,-3.240478427,-3.28795714,-3.307163683,-3.268750597,-3.266823336,-3.306933647
75,m,api.urb,54253,2112,-3.246022925,-3.193027927,-3.217847715,-3.16820814,-3.179602046,-3.214236285
76,m,api.urb,48409,2210,-3.086693231,-3.108793863,-3.127974507,-3.089613219,-3.096191452,-3.121538922
77,m,api.urb,42558,2098,-3.009883341,-3.023659799,-3.039519421,-3.007800176,-3.016260858,-3.02884156
78,m,api.urb,37286,2128,-2.86343535,-2.939025735,-2.95536322,-2.922688249,-2.939521959,-2.936144198
79,m,api.urb,34221,1930,-2.875319488,-2.85309167,-2.873440001,-2.83274334,-2.865721757,-2.843446835
80,m,api.urb,28267,1749,-2.78265085,-2.756357606,-2.782681568,-2.730033644,-2.794636914,-2.750749473
81,m,api.urb,23921,1607,-2.700387647,-2.666472541,-2.687057675,-2.645887406,-2.726069208,-2.658052111
82,m,api.urb,21521,1698,-2.539578115,-2.572687475,-2.589287129,-2.556087821,-2.659841833,-2.565354748
83,m,api.urb,21178,1716,-2.512966906,-2.480302409,-2.496061635,-2.464543184,-2.595796375,-2.472657386
84,m,api.urb,19355,1783,-2.384653445,-2.387817344,-2.40631496,-2.369319728,-2.533790299,-2.379960024
85,m,api.urb,18143,1837,-2.290151005,-2.294632278,-2.318232582,-2.271031974,-2.473694866,-2.287262661
86,m,api.urb,16224,1798,-2.199816691,-2.19883003,-2.21888682,-2.17877324,-2.415393378,-2.194565299
87,m,api.urb,14617,1799,-2.09495428,-2.107327781,-2.124623761,-2.090031802,-2.358779699,-2.101867937
