"idade","sexo","grupo","pop","obito","logmx","topals","topals.inf","topals.sup","vand.hat","gomp.hat"
90,"f","api.rur",21113,2549,-2.11418783911197,-2.22486395777932,-2.23423628930465,-2.21549162625399,-2.26102201738976,-2.09734030990907
91,"f","api.rur",17159,2285,-2.01615679295732,-2.15978412143612,-2.16981476887325,-2.14975347399899,-2.19368827907458,-1.99922812216655
92,"f","api.rur",14108,1921,-1.99389612858739,-2.09440428509292,-2.10522917233825,-2.08357939784759,-2.12829942736471,-1.90111593442403
93,"f","api.rur",10953,1539,-1.96248053648487,-2.03332444874972,-2.04505191590247,-2.02159698159698,-2.06476278910286,-1.80300374668151
94,"f","api.rur",9783,1380,-1.95856268630618,-1.97574461240653,-1.98845994936007,-1.96302927545298,-2.00299035310024,-1.70489155893899
95,"f","api.rur",9186,1323,-1.93777870077078,-1.91966477606333,-1.9334349288564,-1.90589462327026,-1.94289876391546,-1.60677937119647
96,"f","api.rur",7492,1066,-1.94992245883819,-1.86488493972013,-1.8797626219363,-1.85000725750397,-1.88440923078706,-1.50866718345394
97,"f","api.rur",6775,965,-1.94886654440892,-1.81290510337694,-1.82893210416887,-1.796878102585,-1.82744738044688,-1.41055499571142
98,"f","api.rur",5841,828,-1.95364413965505,-1.76372526703374,-1.78093500517013,-1.74651552889735,-1.77194307449646,-1.3124428079689
99,"f","api.rur",4823,716,-1.90747125310833,-1.71754543069054,-1.73596488847681,-1.69912597290428,-1.71783020615561,-1.21433062022637
100,"f","api.rur",3508,547,-1.85835255107009,-1.67596559434735,-1.69561677165649,-1.6563144170382,-1.66504648690255,-1.11621843248385
101,"f","api.rur",2147,359,-1.7885044093905,-1.63828575800415,-1.65918676564038,-1.61738475036791,-1.61353323039435,-1.01810624474133
102,"f","api.rur",1557,263,-1.77836213965623,-1.60470592166095,-1.62687180709021,-1.58254003623169,-1.56323513877371,-0.919994056998808
103,"f","api.rur",1180,218,-1.68877465467062,-1.57562608531775,-1.59906946049273,-1.55218271014278,-1.51410009480688,-0.821881869256286
104,"f","api.rur",995,190,-1.65571866499811,-1.55084624897456,-1.57557777154,-1.52611472640911,-1.46607896209297,-0.723769681513764
105,"f","api.rur",738,135,-1.69866904616204,-1.53096641263136,-1.55699515795829,-1.50493766730443,-1.41912539471523,-0.625657493771242
106,"f","api.rur",377,76,-1.60151184716168,-1.51638657628816,-1.54372032766375,-1.48905282491258,-1.37319565708189,-0.52754530602872
107,"f","api.rur",332,73,-1.5146755277681,-1.50620673994497,-1.53485221692317,-1.47756126296676,-1.32824845426149,-0.429433118286198
108,"f","api.rur",223,45,-1.6005092816898,-1.50082690360177,-1.5307899432412,-1.47086386396234,-1.28424477280837,-0.331320930543675
109,"f","api.rur",167,27,-1.82215694641243,-1.50104706725857,-1.53233276916277,-1.46976136535438,-1.24114773186172,-0.233208742801154
110,"f","api.rur",85,13,-1.87770189902878,-1.51646723091538,-1.5490800742278,-1.48385438760295,-1.1989224441601,-0.135096555058632
65,"f","bpc",51618,522,-4.59395813996676,-4.37611355115162,-4.42291338705262,-4.32931371525061,-4.22264583363347,-4.25215783326803
66,"f","bpc",66510,1058,-4.14097197886022,-4.25952385816994,-4.29561605277177,-4.22343166356812,-4.15355004382202,-4.16343963520006
67,"f","bpc",73586,1239,-4.0841501876029,-4.14203416518827,-4.16892241241376,-4.11514591796279,-4.07616843971967,-4.0747214371321
